               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.015806,             0.01043,           0.0017905,             0.97111,             0.96616,             0.97467,             0.91284,            0.010586,           0.0066128,           0.0022956,            0.005512,            0.005512,            0.005512
                  70,            0.015772,            0.011073,           0.0018155,             0.96837,             0.97191,             0.97475,             0.89084,            0.011047,           0.0068707,           0.0022361,            0.005446,            0.005446,            0.005446
                  71,            0.015463,            0.010363,           0.0016988,             0.96879,               0.966,             0.97349,             0.88677,            0.010621,           0.0067594,           0.0020856,             0.00538,             0.00538,             0.00538
                  72,            0.015001,           0.0098834,           0.0015518,             0.96537,             0.96744,             0.97333,             0.89597,            0.011095,           0.0068488,            0.002162,            0.005314,            0.005314,            0.005314
                  73,             0.01465,           0.0095127,           0.0016728,             0.96662,             0.97566,              0.9707,              0.8928,            0.010263,           0.0066173,           0.0021446,            0.005248,            0.005248,            0.005248
                  74,            0.014877,            0.010606,           0.0018438,             0.97407,             0.97264,             0.97476,             0.90685,            0.011386,           0.0069859,           0.0020861,            0.005182,            0.005182,            0.005182
                  75,             0.01468,            0.010234,           0.0019955,              0.9645,             0.97505,             0.97208,             0.91316,            0.010467,           0.0066743,           0.0021984,            0.005116,            0.005116,            0.005116
                  76,            0.014429,            0.010628,           0.0018352,                0.97,              0.9749,             0.96644,             0.89762,           0.0098846,           0.0066264,           0.0022096,             0.00505,             0.00505,             0.00505
                  77,            0.014566,            0.010193,           0.0016912,             0.97299,             0.97425,             0.97292,             0.89648,            0.010308,           0.0068266,           0.0020447,            0.004984,            0.004984,            0.004984
                  78,            0.014507,              0.0104,           0.0016109,             0.97316,             0.97444,             0.97496,             0.88527,           0.0098634,           0.0065067,            0.002062,            0.004918,            0.004918,            0.004918
                  79,            0.014087,            0.010006,           0.0015883,             0.97259,             0.97245,              0.9748,             0.89849,            0.010918,            0.006602,           0.0020908,            0.004852,            0.004852,            0.004852
                  80,            0.014345,            0.010425,           0.0015895,             0.97063,             0.96426,             0.97468,             0.91679,            0.010827,            0.006711,           0.0020363,            0.004786,            0.004786,            0.004786
                  81,            0.013983,            0.010315,           0.0015763,             0.97079,             0.97223,             0.97404,             0.90071,           0.0097497,           0.0066175,           0.0020763,             0.00472,             0.00472,             0.00472
                  82,            0.013981,           0.0096737,           0.0014731,             0.97281,             0.97376,             0.97333,             0.89931,           0.0098975,           0.0066087,           0.0020863,            0.004654,            0.004654,            0.004654
                  83,            0.013795,           0.0098326,           0.0014327,             0.97193,              0.9752,             0.97375,              0.9104,            0.010014,            0.006712,           0.0020503,            0.004588,            0.004588,            0.004588
                  84,            0.013582,           0.0099544,           0.0014117,             0.96842,             0.97356,             0.97348,             0.90463,           0.0097005,           0.0065312,           0.0020076,            0.004522,            0.004522,            0.004522
                  85,            0.013481,           0.0099725,           0.0014641,             0.97029,             0.96979,             0.97229,              0.9023,            0.010726,           0.0064347,           0.0019529,            0.004456,            0.004456,            0.004456
                  86,            0.013315,           0.0095917,           0.0013933,             0.96829,             0.97693,             0.97416,             0.90592,            0.011059,           0.0065114,           0.0019814,             0.00439,             0.00439,             0.00439
                  87,            0.013418,           0.0093474,           0.0014486,             0.97063,              0.9738,             0.97417,             0.88598,           0.0099416,            0.006592,           0.0020355,            0.004324,            0.004324,            0.004324
                  88,            0.013546,            0.009399,           0.0016765,             0.96853,             0.97969,             0.97426,             0.90033,            0.010198,           0.0065761,           0.0020001,            0.004258,            0.004258,            0.004258
                  89,            0.013627,            0.010303,           0.0013449,              0.9727,             0.97344,             0.97374,             0.90684,           0.0097124,           0.0063322,           0.0019664,            0.004192,            0.004192,            0.004192
                  90,            0.013099,           0.0092916,           0.0012986,             0.97158,             0.97439,             0.97165,             0.89665,           0.0095572,            0.006568,           0.0019615,            0.004126,            0.004126,            0.004126
                  91,            0.013151,           0.0098702,           0.0013463,             0.96934,             0.97114,             0.97085,             0.90822,           0.0095566,           0.0066986,           0.0019852,             0.00406,             0.00406,             0.00406
                  92,            0.012574,           0.0097595,           0.0015045,             0.97068,             0.97444,             0.97405,             0.91817,           0.0097357,           0.0066419,           0.0020295,            0.003994,            0.003994,            0.003994
                  93,            0.012638,           0.0097559,           0.0013479,              0.9701,             0.97073,             0.97487,             0.90576,           0.0093982,           0.0066593,           0.0020051,            0.003928,            0.003928,            0.003928
                  94,             0.01278,           0.0097741,           0.0013385,             0.96904,             0.97079,              0.9758,             0.90261,            0.010104,           0.0067205,           0.0019191,            0.003862,            0.003862,            0.003862
                  95,            0.012442,           0.0095094,           0.0012438,             0.97054,             0.96616,              0.9735,             0.90567,           0.0094715,           0.0066662,           0.0018742,            0.003796,            0.003796,            0.003796
                  96,            0.012677,            0.009554,           0.0011978,             0.96924,             0.97302,             0.97359,             0.88896,           0.0093609,           0.0063624,           0.0019005,             0.00373,             0.00373,             0.00373
                  97,            0.012608,           0.0092332,           0.0012526,             0.97135,             0.97677,             0.97364,             0.90634,            0.010176,           0.0064824,           0.0019067,            0.003664,            0.003664,            0.003664
                  98,            0.012009,           0.0091374,           0.0012376,             0.96881,             0.97549,             0.97228,             0.91024,           0.0091309,           0.0064993,           0.0018922,            0.003598,            0.003598,            0.003598
                  99,            0.011963,           0.0093837,           0.0011836,             0.96853,             0.97597,              0.9711,             0.90684,           0.0095323,           0.0066652,           0.0018438,            0.003532,            0.003532,            0.003532
                 100,            0.012592,           0.0089189,           0.0013002,             0.96908,             0.97706,             0.97488,             0.90251,            0.009313,           0.0065749,           0.0018013,            0.003466,            0.003466,            0.003466
                 101,            0.011972,           0.0093408,           0.0011561,             0.96943,             0.97352,             0.97258,             0.91341,           0.0087486,           0.0064094,           0.0017847,              0.0034,              0.0034,              0.0034
                 102,            0.011918,            0.009174,           0.0011006,             0.97169,              0.9719,             0.97368,             0.91844,           0.0094102,           0.0065024,           0.0018169,            0.003334,            0.003334,            0.003334
                 103,            0.011538,           0.0093166,           0.0011735,             0.96917,             0.97552,             0.97353,             0.92145,           0.0086908,           0.0064633,           0.0018465,            0.003268,            0.003268,            0.003268
                 104,            0.011562,           0.0093947,           0.0011211,             0.97036,             0.97482,              0.9736,             0.91601,           0.0090079,           0.0066254,           0.0018396,            0.003202,            0.003202,            0.003202
                 105,            0.011511,           0.0095056,           0.0011065,             0.97224,             0.97314,             0.97346,             0.91925,           0.0088089,           0.0065684,           0.0018099,            0.003136,            0.003136,            0.003136
                 106,            0.011343,           0.0092392,           0.0011651,             0.97112,             0.97719,             0.97182,             0.90277,           0.0088753,           0.0065303,           0.0017649,             0.00307,             0.00307,             0.00307
                 107,             0.01122,           0.0087639,           0.0011958,             0.97248,             0.97282,             0.97431,             0.90571,           0.0085921,           0.0065033,             0.00176,            0.003004,            0.003004,            0.003004
                 108,            0.011093,           0.0089287,           0.0010778,             0.97189,             0.97183,             0.97331,             0.90004,           0.0086902,           0.0063748,           0.0017194,            0.002938,            0.002938,            0.002938
                 109,            0.011066,           0.0088321,           0.0011453,             0.97094,             0.97164,             0.97253,             0.91194,           0.0082632,           0.0064566,           0.0017156,            0.002872,            0.002872,            0.002872
                 110,            0.010908,           0.0084065,            0.001052,             0.97126,             0.97322,             0.97406,             0.91773,           0.0082742,           0.0065062,            0.001703,            0.002806,            0.002806,            0.002806
                 111,            0.010515,           0.0085503,           0.0010661,             0.97071,             0.97625,              0.9734,             0.92028,           0.0088382,           0.0067089,            0.001677,             0.00274,             0.00274,             0.00274
                 112,            0.010721,           0.0087082,           0.0010112,             0.97054,             0.97515,             0.97263,             0.91196,           0.0088381,           0.0067887,           0.0016714,            0.002674,            0.002674,            0.002674
                 113,            0.010516,           0.0082184,          0.00098185,             0.97254,             0.97414,             0.97115,             0.91613,           0.0090258,           0.0067134,           0.0016392,            0.002608,            0.002608,            0.002608
                 114,            0.010463,           0.0086032,           0.0010202,             0.97381,             0.97886,             0.97258,             0.92364,           0.0085529,           0.0067539,           0.0016305,            0.002542,            0.002542,            0.002542
                 115,            0.010351,           0.0080476,          0.00085883,             0.97385,             0.97835,             0.97255,             0.91341,           0.0085849,           0.0065997,            0.001595,            0.002476,            0.002476,            0.002476
                 116,            0.010361,           0.0084388,          0.00089602,             0.97215,             0.97607,             0.97259,             0.91651,           0.0084778,           0.0065432,           0.0016228,             0.00241,             0.00241,             0.00241
                 117,            0.010079,           0.0084581,          0.00093405,              0.9709,             0.97669,             0.97345,             0.91918,           0.0083732,           0.0064461,           0.0015962,            0.002344,            0.002344,            0.002344
                 118,           0.0098876,           0.0083007,          0.00094531,             0.97178,             0.97902,             0.97233,             0.91403,           0.0084796,            0.006506,           0.0015766,            0.002278,            0.002278,            0.002278
                 119,           0.0099993,           0.0083463,          0.00095175,             0.96904,             0.97593,             0.97157,             0.92377,           0.0086229,           0.0064099,           0.0015967,            0.002212,            0.002212,            0.002212
                 120,            0.010008,           0.0085714,          0.00090097,             0.96805,             0.97642,             0.96836,             0.92262,           0.0082142,           0.0064681,           0.0015676,            0.002146,            0.002146,            0.002146
                 121,           0.0096306,            0.008586,          0.00087726,             0.97084,             0.97322,             0.97108,             0.91219,           0.0082211,           0.0065968,           0.0015834,             0.00208,             0.00208,             0.00208
                 122,           0.0096985,           0.0082712,          0.00083154,             0.97218,             0.97237,             0.97346,             0.91581,            0.008381,           0.0066285,           0.0015749,            0.002014,            0.002014,            0.002014
                 123,           0.0097595,           0.0084335,          0.00081119,             0.97241,              0.9743,               0.971,             0.92102,           0.0081526,           0.0064785,           0.0015741,            0.001948,            0.001948,            0.001948
                 124,           0.0094741,           0.0083658,          0.00081635,              0.9722,             0.97665,             0.97099,             0.92788,           0.0079428,             0.00652,           0.0015453,            0.001882,            0.001882,            0.001882
                 125,           0.0095376,           0.0080186,          0.00078287,             0.97203,             0.97528,             0.97252,             0.91635,           0.0081422,           0.0065329,           0.0015073,            0.001816,            0.001816,            0.001816
                 126,           0.0093039,           0.0084848,           0.0008112,             0.97144,             0.97378,             0.97417,             0.90931,           0.0081572,           0.0065799,           0.0015132,             0.00175,             0.00175,             0.00175
                 127,           0.0094259,           0.0087049,          0.00080094,             0.97295,             0.97179,             0.97341,             0.92291,           0.0081402,           0.0062847,           0.0015155,            0.001684,            0.001684,            0.001684
                 128,           0.0089122,           0.0078101,          0.00073633,             0.97291,             0.97673,             0.97179,             0.91977,            0.008151,           0.0064914,           0.0015144,            0.001618,            0.001618,            0.001618
                 129,            0.008831,           0.0081474,          0.00068725,              0.9706,              0.9789,             0.97178,             0.92536,           0.0080305,           0.0064452,           0.0015198,            0.001552,            0.001552,            0.001552
                 130,           0.0091088,           0.0079212,          0.00077279,             0.97028,              0.9759,              0.9719,             0.93072,           0.0080629,           0.0065429,           0.0015435,            0.001486,            0.001486,            0.001486
                 131,           0.0090586,           0.0078433,          0.00070994,             0.97199,             0.97795,             0.97344,             0.91881,           0.0079846,           0.0065064,           0.0015131,             0.00142,             0.00142,             0.00142
                 132,           0.0089411,           0.0076816,          0.00068601,             0.97051,             0.97912,             0.97265,             0.91835,           0.0078642,            0.006557,           0.0015109,            0.001354,            0.001354,            0.001354
